Team Name,PlusMinus,divname,Wins,Losses,Ties
123 Trap!,-81,4/3 Div 3,1,9,0
215 Needham Street,36,Open Div 1,5,1,1
A Lil Bit Sticky,-43,4/3 Div 2,5,10,0
AHOC,100,4/3 Div 1,14,0,0
Alpha No Beta,-7,5/2 Div 3,10,9,0
BBN,-47,4/3 Div 1,2,8,1
Baba Yaga,47,5/2 Div 2,9,3,0
Baboon Heart,-35,4/3 Div 3,5,7,0
Bacon,18,5/2 Div 2,7,4,0
Batman and the Robins,-3,4/3 Div 3,6,6,0
Booooooosh!,0,4/3 Div 2,4,5,0
Crossroads,73,Open Div 1,17,3,1
DISCtinguished Gentlemen,-26,Open Div 1,1,6,0
Demons,12,5/2 Div 3,5,6,0
Desert Horizon,-18,Open Div 1,0,3,0
Disc Envy,31,4/3 Div 2,9,8,0
Dominion,-6,4/3 Div 2,6,7,0
Fat Bass Ultimate,11,Open Div 1,6,4,0
Fetch,9,4/3 Div 2,8,11,0
Flaming Croissants,66,4/3 Div 2,15,5,0
FlowChart,29,4/3 Div 1,12,4,0
Flying Salsa,13,5/2 Div 3,12,8,0
Get Flat Ultimate,2,5/2 Div 2,10,8,0
Gothrilla,47,4/3 Div 1,12,4,1
Granite State Grass Stains,22,5/2 Div 3,6,4,0
GrassBurner,29,4/3 Div 1,11,8,2
Hammered,-18,Open Div 1,5,7,0
Hippos,26,5/2 Div 2,9,4,0
Hipster Kitties,-98,4/3 Div 2,3,15,0
Hucky McThrowandcatch,-1,5/2 Div 2,5,5,0
I'm not gonna not play Flong,1,Open Div 2,2,3,0
Injustice League,100,4/3 Div 2,14,1,0
Iron Squids,-33,5/2 Div 2,1,10,0
JHOP,32,4/3 Div 2,12,8,1
Jack's Abby HAOS Lager,46,4/3 Div 2,10,2,0
Jiggy,-48,5/2 Div 3,5,14,1
JuJu Hex,72,5/2 Div 2,11,3,1
Killer Bees,-35,5/2 Div 3,3,12,0
Lady and the BAMF,-74,4/3 Div 2,5,15,0
License to Kilt (fka Scoobers in Scotland),46,4/3 Div 2,13,6,0
"Live Poultry, Fresh Killed (LPFK)",-39,4/3 Div 1,6,13,0
M.O.B.,-58,5/2 Div 3,2,10,0
Maverick,42,5/2 Div 2,9,2,1
Moose Lightning,-65,4/3 Div 2,4,11,0
Nerd Alert,-54,4/3 Div 2,7,12,0
Oddjob,11,4/3 Div 3,13,6,0
Pink Flamingos,58,5/2 Div 2,10,1,0
Puddingstone,98,4/3 Div 2,18,6,0
Rabbit Disc,37,5/2 Div 3,12,8,0
Rogues' Gallery,-6,4/3 Div 2,9,11,1
Rubs The Duckie,30,4/3 Div 2,9,4,0
SHRedline,-6,5/2 Div 2,6,8,0
SIR!,-53,5/2 Div 3,4,12,0
Savage Strike,-38,Open Div 1,7,9,0
Shake and Bake,-34,5/2 Div 1,3,7,3
Sky Zone,-47,Open Div 2,2,9,0
SnakeCountryBromance,33,5/2 Div 1,5,0,0
Spam,-36,5/2 Div 3,9,12,0
Spawning Alewives,-84,5/2 Div 3,1,11,0
Squid Squad,2,Open Div 1,6,7,0
Stack to the Future,-7,4/3 Div 3,9,12,0
Stall 9,33,Open Div 1,7,5,0
Stonecutters,24,5/2 Div 1,8,4,1
Store Bought Dirt,8,4/3 Div 2,13,11,0
Swingers,-6,4/3 Div 1,5,7,1
THEM!,-35,5/2 Div 3,2,12,0
The Funky Bunch,-29,5/2 Div 2,4,6,0
Toads,40,4/3 Div 2,15,8,0
Tofu Wolf,-15,5/2 Div 3,11,14,0
Too Drunk to Fail,59,4/3 Div 3,11,2,0
Top Shelf,-35,4/3 Div 3,2,8,0
Tubbs,-89,4/3 Div 2,2,15,0
TuneSquad,-9,4/3 Div 1,6,7,1
TuneSquad Squared,-130,4/3 Div 2,0,17,0
Turtle Boy,-12,4/3 Div 1,5,10,0
Underwater Monkey Cowboys,-24,4/3 Div 3,6,11,1
Upstream,119,4/3 Div 2,20,6,0
Zerg Rush!,22,4/3 Div 1,10,4,0
