Team A,Team B,Team A Wins,Index A,Index B,Div A,Div B
AHOC,Gothrilla,True,0,1,4/3 Div 1,4/3 Div 1
AHOC,BBN,True,0,9,4/3 Div 1,4/3 Div 1
AHOC,Stonecutters,True,0,41,4/3 Div 1,5/2 Div 1
AHOC,FlowChart,True,0,2,4/3 Div 1,4/3 Div 1
AHOC,Lady and the BAMF,True,0,28,4/3 Div 1,4/3 Div 2
AHOC,Swingers,True,0,5,4/3 Div 1,4/3 Div 1
AHOC,Upstream,True,0,10,4/3 Div 1,4/3 Div 2
AHOC,Tubbs,True,0,29,4/3 Div 1,4/3 Div 2
AHOC,Stonecutters,True,0,41,4/3 Div 1,5/2 Div 1
AHOC,Zerg Rush!,True,0,4,4/3 Div 1,4/3 Div 1
AHOC,Turtle Boy,True,0,7,4/3 Div 1,4/3 Div 1
AHOC,"Live Poultry, Fresh Killed (LPFK)",True,0,8,4/3 Div 1,4/3 Div 1
AHOC,TuneSquad,True,0,6,4/3 Div 1,4/3 Div 1
AHOC,JuJu Hex,True,0,43,4/3 Div 1,5/2 Div 2
Gothrilla,Swingers,False,1,5,4/3 Div 1,4/3 Div 1
Gothrilla,FlowChart,True,1,2,4/3 Div 1,4/3 Div 1
Gothrilla,Hucky McThrowandcatch,True,1,50,4/3 Div 1,5/2 Div 2
Gothrilla,SnakeCountryBromance,False,1,40,4/3 Div 1,5/2 Div 1
Gothrilla,Zerg Rush!,False,1,4,4/3 Div 1,4/3 Div 1
Gothrilla,GrassBurner,True,1,3,4/3 Div 1,4/3 Div 1
Gothrilla,Turtle Boy,True,1,7,4/3 Div 1,4/3 Div 1
Gothrilla,"Live Poultry, Fresh Killed (LPFK)",True,1,8,4/3 Div 1,4/3 Div 1
Gothrilla,Upstream,True,1,10,4/3 Div 1,4/3 Div 2
Gothrilla,"Live Poultry, Fresh Killed (LPFK)",True,1,8,4/3 Div 1,4/3 Div 1
Gothrilla,TuneSquad,True,1,6,4/3 Div 1,4/3 Div 1
Gothrilla,BBN,True,1,9,4/3 Div 1,4/3 Div 1
Gothrilla,Swingers,True,1,5,4/3 Div 1,4/3 Div 1
Gothrilla,Zerg Rush!,True,1,4,4/3 Div 1,4/3 Div 1
Gothrilla,GrassBurner,False,1,3,4/3 Div 1,4/3 Div 1
Gothrilla,Shake and Bake,True,1,42,4/3 Div 1,5/2 Div 1
FlowChart,GrassBurner,True,2,3,4/3 Div 1,4/3 Div 1
FlowChart,Dominion,True,2,23,4/3 Div 1,4/3 Div 2
FlowChart,GrassBurner,True,2,3,4/3 Div 1,4/3 Div 1
FlowChart,Rogues' Gallery,True,2,24,4/3 Div 1,4/3 Div 2
FlowChart,Moose Lightning,True,2,27,4/3 Div 1,4/3 Div 2
FlowChart,Swingers,True,2,5,4/3 Div 1,4/3 Div 1
FlowChart,JHOP,True,2,17,4/3 Div 1,4/3 Div 2
FlowChart,TuneSquad,True,2,6,4/3 Div 1,4/3 Div 1
FlowChart,Turtle Boy,True,2,7,4/3 Div 1,4/3 Div 1
FlowChart,"Live Poultry, Fresh Killed (LPFK)",True,2,8,4/3 Div 1,4/3 Div 1
FlowChart,Upstream,False,2,10,4/3 Div 1,4/3 Div 2
FlowChart,Fetch,True,2,21,4/3 Div 1,4/3 Div 2
FlowChart,BBN,True,2,9,4/3 Div 1,4/3 Div 1
FlowChart,Zerg Rush!,False,2,4,4/3 Div 1,4/3 Div 1
GrassBurner,BBN,True,3,9,4/3 Div 1,4/3 Div 1
GrassBurner,TuneSquad,True,3,6,4/3 Div 1,4/3 Div 1
GrassBurner,Disc Envy,True,3,19,4/3 Div 1,4/3 Div 2
GrassBurner,Hipster Kitties,True,3,30,4/3 Div 1,4/3 Div 2
GrassBurner,SnakeCountryBromance,False,3,40,4/3 Div 1,5/2 Div 1
GrassBurner,BBN,True,3,9,4/3 Div 1,4/3 Div 1
GrassBurner,"Live Poultry, Fresh Killed (LPFK)",True,3,8,4/3 Div 1,4/3 Div 1
GrassBurner,JuJu Hex,False,3,43,4/3 Div 1,5/2 Div 2
GrassBurner,Puddingstone,True,3,12,4/3 Div 1,4/3 Div 2
GrassBurner,Swingers,False,3,5,4/3 Div 1,4/3 Div 1
GrassBurner,Zerg Rush!,False,3,4,4/3 Div 1,4/3 Div 1
GrassBurner,JHOP,True,3,17,4/3 Div 1,4/3 Div 2
GrassBurner,Moose Lightning,False,3,27,4/3 Div 1,4/3 Div 2
GrassBurner,Turtle Boy,True,3,7,4/3 Div 1,4/3 Div 1
GrassBurner,Rogues' Gallery,False,3,24,4/3 Div 1,4/3 Div 2
GrassBurner,SHRedline,True,3,51,4/3 Div 1,5/2 Div 2
GrassBurner,Stonecutters,True,3,41,4/3 Div 1,5/2 Div 1
Zerg Rush!,TuneSquad,True,4,6,4/3 Div 1,4/3 Div 1
Zerg Rush!,SnakeCountryBromance,False,4,40,4/3 Div 1,5/2 Div 1
Zerg Rush!,Moose Lightning,True,4,27,4/3 Div 1,4/3 Div 2
Zerg Rush!,Swingers,True,4,5,4/3 Div 1,4/3 Div 1
Zerg Rush!,Turtle Boy,True,4,7,4/3 Div 1,4/3 Div 1
Zerg Rush!,Injustice League,True,4,11,4/3 Div 1,4/3 Div 2
Zerg Rush!,Puddingstone,False,4,12,4/3 Div 1,4/3 Div 2
Zerg Rush!,Fetch,True,4,21,4/3 Div 1,4/3 Div 2
Zerg Rush!,"Live Poultry, Fresh Killed (LPFK)",True,4,8,4/3 Div 1,4/3 Div 1
Swingers,"Live Poultry, Fresh Killed (LPFK)",False,5,8,4/3 Div 1,4/3 Div 1
Swingers,JHOP,True,5,17,4/3 Div 1,4/3 Div 2
Swingers,TuneSquad,False,5,6,4/3 Div 1,4/3 Div 1
Swingers,BBN,True,5,9,4/3 Div 1,4/3 Div 1
Swingers,Turtle Boy,True,5,7,4/3 Div 1,4/3 Div 1
Swingers,Shake and Bake,False,5,42,4/3 Div 1,5/2 Div 1
Swingers,Stonecutters,False,5,41,4/3 Div 1,5/2 Div 1
TuneSquad,TuneSquad Squared,True,6,31,4/3 Div 1,4/3 Div 2
TuneSquad,Puddingstone,True,6,12,4/3 Div 1,4/3 Div 2
TuneSquad,Shake and Bake,False,6,42,4/3 Div 1,5/2 Div 1
TuneSquad,Puddingstone,False,6,12,4/3 Div 1,4/3 Div 2
TuneSquad,"Live Poultry, Fresh Killed (LPFK)",True,6,8,4/3 Div 1,4/3 Div 1
TuneSquad,BBN,False,6,9,4/3 Div 1,4/3 Div 1
TuneSquad,Dominion,True,6,23,4/3 Div 1,4/3 Div 2
TuneSquad,Turtle Boy,True,6,7,4/3 Div 1,4/3 Div 1
Turtle Boy,Injustice League,False,7,11,4/3 Div 1,4/3 Div 2
Turtle Boy,"Live Poultry, Fresh Killed (LPFK)",True,7,8,4/3 Div 1,4/3 Div 1
Turtle Boy,Puddingstone,False,7,12,4/3 Div 1,4/3 Div 2
Turtle Boy,Lady and the BAMF,True,7,28,4/3 Div 1,4/3 Div 2
Turtle Boy,Dominion,True,7,23,4/3 Div 1,4/3 Div 2
Turtle Boy,Upstream,False,7,10,4/3 Div 1,4/3 Div 2
Turtle Boy,Shake and Bake,True,7,42,4/3 Div 1,5/2 Div 1
Turtle Boy,Stonecutters,True,7,41,4/3 Div 1,5/2 Div 1
"Live Poultry, Fresh Killed (LPFK)",BBN,False,8,9,4/3 Div 1,4/3 Div 1
"Live Poultry, Fresh Killed (LPFK)",Rogues' Gallery,True,8,24,4/3 Div 1,4/3 Div 2
"Live Poultry, Fresh Killed (LPFK)",Upstream,True,8,10,4/3 Div 1,4/3 Div 2
"Live Poultry, Fresh Killed (LPFK)",Rubs The Duckie,False,8,18,4/3 Div 1,4/3 Div 2
"Live Poultry, Fresh Killed (LPFK)",Lady and the BAMF,True,8,28,4/3 Div 1,4/3 Div 2
"Live Poultry, Fresh Killed (LPFK)",Hucky McThrowandcatch,True,8,50,4/3 Div 1,5/2 Div 2
"Live Poultry, Fresh Killed (LPFK)",Injustice League,False,8,11,4/3 Div 1,4/3 Div 2
"Live Poultry, Fresh Killed (LPFK)",Tubbs,True,8,29,4/3 Div 1,4/3 Div 2
"Live Poultry, Fresh Killed (LPFK)",License to Kilt (fka Scoobers in Scotland),False,8,15,4/3 Div 1,4/3 Div 2
"Live Poultry, Fresh Killed (LPFK)",Puddingstone,False,8,12,4/3 Div 1,4/3 Div 2
BBN,Shake and Bake,False,9,42,4/3 Div 1,5/2 Div 1
BBN,Injustice League,False,9,11,4/3 Div 1,4/3 Div 2
BBN,Stonecutters,False,9,41,4/3 Div 1,5/2 Div 1
Upstream,Store Bought Dirt,True,10,20,4/3 Div 2,4/3 Div 2
Upstream,Too Drunk to Fail,True,10,32,4/3 Div 2,4/3 Div 3
Upstream,Jack's Abby HAOS Lager,False,10,14,4/3 Div 2,4/3 Div 2
Upstream,Lady and the BAMF,True,10,28,4/3 Div 2,4/3 Div 2
Upstream,Moose Lightning,True,10,27,4/3 Div 2,4/3 Div 2
Upstream,JHOP,True,10,17,4/3 Div 2,4/3 Div 2
Upstream,Underwater Monkey Cowboys,True,10,36,4/3 Div 2,4/3 Div 3
Upstream,SHRedline,True,10,51,4/3 Div 2,5/2 Div 2
Upstream,Disc Envy,True,10,19,4/3 Div 2,4/3 Div 2
Upstream,Toads,True,10,16,4/3 Div 2,4/3 Div 2
Upstream,Puddingstone,True,10,12,4/3 Div 2,4/3 Div 2
Upstream,Jack's Abby HAOS Lager,False,10,14,4/3 Div 2,4/3 Div 2
Upstream,JHOP,True,10,17,4/3 Div 2,4/3 Div 2
Upstream,TuneSquad Squared,True,10,31,4/3 Div 2,4/3 Div 2
Upstream,License to Kilt (fka Scoobers in Scotland),True,10,15,4/3 Div 2,4/3 Div 2
Upstream,A Lil Bit Sticky,True,10,25,4/3 Div 2,4/3 Div 2
Upstream,Hipster Kitties,False,10,30,4/3 Div 2,4/3 Div 2
Upstream,Tubbs,True,10,29,4/3 Div 2,4/3 Div 2
Upstream,Store Bought Dirt,True,10,20,4/3 Div 2,4/3 Div 2
Upstream,Nerd Alert,True,10,26,4/3 Div 2,4/3 Div 2
Upstream,Fetch,True,10,21,4/3 Div 2,4/3 Div 2
Injustice League,A Lil Bit Sticky,True,11,25,4/3 Div 2,4/3 Div 2
Injustice League,Jack's Abby HAOS Lager,True,11,14,4/3 Div 2,4/3 Div 2
Injustice League,Hipster Kitties,True,11,30,4/3 Div 2,4/3 Div 2
