Team A,Team B,Team A Wins,Index A,Index B
AHOC,Gothrilla,True,0,1
AHOC,BBN,True,0,9
AHOC,Stonecutters,True,0,41
AHOC,FlowChart,True,0,2
AHOC,Lady and the BAMF,True,0,28
AHOC,Swingers,True,0,5
AHOC,Upstream,True,0,10
AHOC,Tubbs,True,0,29
AHOC,Stonecutters,True,0,41
AHOC,Zerg Rush!,True,0,4
AHOC,Turtle Boy,True,0,7
AHOC,"Live Poultry, Fresh Killed (LPFK)",True,0,8
AHOC,TuneSquad,True,0,6
AHOC,JuJu Hex,True,0,43
Gothrilla,Swingers,False,1,5
Gothrilla,FlowChart,True,1,2
Gothrilla,Hucky McThrowandcatch,True,1,50
Gothrilla,SnakeCountryBromance,False,1,40
Gothrilla,Zerg Rush!,False,1,4
Gothrilla,GrassBurner,True,1,3
Gothrilla,Turtle Boy,True,1,7
Gothrilla,"Live Poultry, Fresh Killed (LPFK)",True,1,8
Gothrilla,Upstream,True,1,10
Gothrilla,"Live Poultry, Fresh Killed (LPFK)",True,1,8
Gothrilla,TuneSquad,True,1,6
Gothrilla,BBN,True,1,9
Gothrilla,Swingers,True,1,5
Gothrilla,Zerg Rush!,True,1,4
Gothrilla,GrassBurner,False,1,3
Gothrilla,Shake and Bake,True,1,42
FlowChart,GrassBurner,True,2,3
FlowChart,Dominion,True,2,23
FlowChart,GrassBurner,True,2,3
FlowChart,Rogues' Gallery,True,2,24
FlowChart,Moose Lightning,True,2,27
FlowChart,Swingers,True,2,5
FlowChart,JHOP,True,2,17
FlowChart,TuneSquad,True,2,6
FlowChart,Turtle Boy,True,2,7
FlowChart,"Live Poultry, Fresh Killed (LPFK)",True,2,8
FlowChart,Upstream,False,2,10
FlowChart,Fetch,True,2,21
FlowChart,BBN,True,2,9
FlowChart,Zerg Rush!,False,2,4
GrassBurner,BBN,True,3,9
GrassBurner,TuneSquad,True,3,6
GrassBurner,Disc Envy,True,3,19
GrassBurner,Hipster Kitties,True,3,30
GrassBurner,SnakeCountryBromance,False,3,40
GrassBurner,BBN,True,3,9
GrassBurner,"Live Poultry, Fresh Killed (LPFK)",True,3,8
GrassBurner,JuJu Hex,False,3,43
GrassBurner,Puddingstone,True,3,12
GrassBurner,Swingers,False,3,5
GrassBurner,Zerg Rush!,False,3,4
GrassBurner,JHOP,True,3,17
GrassBurner,Moose Lightning,False,3,27
GrassBurner,Turtle Boy,True,3,7
GrassBurner,Rogues' Gallery,False,3,24
GrassBurner,SHRedline,True,3,51
GrassBurner,Stonecutters,True,3,41
Zerg Rush!,TuneSquad,True,4,6
Zerg Rush!,SnakeCountryBromance,False,4,40
Zerg Rush!,Moose Lightning,True,4,27
Zerg Rush!,Swingers,True,4,5
Zerg Rush!,Turtle Boy,True,4,7
Zerg Rush!,Injustice League,True,4,11
Zerg Rush!,Puddingstone,False,4,12
Zerg Rush!,Fetch,True,4,21
Zerg Rush!,"Live Poultry, Fresh Killed (LPFK)",True,4,8
Swingers,"Live Poultry, Fresh Killed (LPFK)",False,5,8
Swingers,JHOP,True,5,17
Swingers,TuneSquad,False,5,6
Swingers,BBN,True,5,9
Swingers,Turtle Boy,True,5,7
Swingers,Shake and Bake,False,5,42
Swingers,Stonecutters,False,5,41
TuneSquad,TuneSquad Squared,True,6,31
TuneSquad,Puddingstone,True,6,12
TuneSquad,Shake and Bake,False,6,42
TuneSquad,Puddingstone,False,6,12
TuneSquad,"Live Poultry, Fresh Killed (LPFK)",True,6,8
TuneSquad,BBN,False,6,9
TuneSquad,Dominion,True,6,23
TuneSquad,Turtle Boy,True,6,7
Turtle Boy,Injustice League,False,7,11
Turtle Boy,"Live Poultry, Fresh Killed (LPFK)",True,7,8
Turtle Boy,Puddingstone,False,7,12
Turtle Boy,Lady and the BAMF,True,7,28
Turtle Boy,Dominion,True,7,23
Turtle Boy,Upstream,False,7,10
Turtle Boy,Shake and Bake,True,7,42
Turtle Boy,Stonecutters,True,7,41
"Live Poultry, Fresh Killed (LPFK)",BBN,False,8,9
"Live Poultry, Fresh Killed (LPFK)",Rogues' Gallery,True,8,24
"Live Poultry, Fresh Killed (LPFK)",Upstream,True,8,10
"Live Poultry, Fresh Killed (LPFK)",Rubs The Duckie,False,8,18
"Live Poultry, Fresh Killed (LPFK)",Lady and the BAMF,True,8,28
"Live Poultry, Fresh Killed (LPFK)",Hucky McThrowandcatch,True,8,50
"Live Poultry, Fresh Killed (LPFK)",Injustice League,False,8,11
"Live Poultry, Fresh Killed (LPFK)",Tubbs,True,8,29
"Live Poultry, Fresh Killed (LPFK)",License to Kilt (fka Scoobers in Scotland),False,8,15
"Live Poultry, Fresh Killed (LPFK)",Puddingstone,False,8,12
BBN,Shake and Bake,False,9,42
BBN,Injustice League,False,9,11
BBN,Stonecutters,False,9,41
Upstream,Store Bought Dirt,True,10,20
Upstream,Too Drunk to Fail,True,10,32
Upstream,Jack's Abby HAOS Lager,False,10,14
Upstream,Lady and the BAMF,True,10,28
Upstream,Moose Lightning,True,10,27
Upstream,JHOP,True,10,17
Upstream,Underwater Monkey Cowboys,True,10,36
Upstream,SHRedline,True,10,51
Upstream,Disc Envy,True,10,19
Upstream,Toads,True,10,16
Upstream,Puddingstone,True,10,12
Upstream,Jack's Abby HAOS Lager,False,10,14
Upstream,JHOP,True,10,17
Upstream,TuneSquad Squared,True,10,31
Upstream,License to Kilt (fka Scoobers in Scotland),True,10,15
Upstream,A Lil Bit Sticky,True,10,25
Upstream,Hipster Kitties,False,10,30
Upstream,Tubbs,True,10,29
Upstream,Store Bought Dirt,True,10,20
Upstream,Nerd Alert,True,10,26
Upstream,Fetch,True,10,21
Injustice League,A Lil Bit Sticky,True,11,25
Injustice League,Jack's Abby HAOS Lager,True,11,14
Injustice League,Hipster Kitties,True,11,30
Injustice League,Moose Lightning,True,11,27
Injustice League,Tubbs,True,11,29
Injustice League,Booooooosh!,True,11,22
Injustice League,Dominion,True,11,23
Injustice League,Fetch,True,11,21
Injustice League,Hipster Kitties,True,11,30
Injustice League,Rogues' Gallery,True,11,24
Injustice League,Puddingstone,True,11,12
Puddingstone,Nerd Alert,True,12,26
Puddingstone,Dominion,True,12,23
Puddingstone,License to Kilt (fka Scoobers in Scotland),True,12,15
Puddingstone,Moose Lightning,True,12,27
Puddingstone,Rubs The Duckie,True,12,18
Puddingstone,Toads,True,12,16
Puddingstone,Hipster Kitties,True,12,30
Puddingstone,Fetch,True,12,21
Puddingstone,The Funky Bunch,True,12,52
Puddingstone,JHOP,True,12,17
Puddingstone,Rogues' Gallery,True,12,24
Puddingstone,Store Bought Dirt,True,12,20
Puddingstone,Maverick,False,12,46
Puddingstone,Jack's Abby HAOS Lager,False,12,14
Puddingstone,A Lil Bit Sticky,True,12,25
Puddingstone,TuneSquad Squared,True,12,31
Flaming Croissants,Demons,False,13,57
Flaming Croissants,Dominion,True,13,23
Flaming Croissants,Spam,True,13,60
Flaming Croissants,Top Shelf,True,13,38
Flaming Croissants,Fetch,True,13,21
Flaming Croissants,Store Bought Dirt,False,13,20
Flaming Croissants,Moose Lightning,True,13,27
Flaming Croissants,A Lil Bit Sticky,True,13,25
Flaming Croissants,JHOP,False,13,17
Flaming Croissants,Nerd Alert,True,13,26
Flaming Croissants,Rubs The Duckie,True,13,18
Flaming Croissants,Underwater Monkey Cowboys,True,13,36
Flaming Croissants,Disc Envy,True,13,19
Flaming Croissants,Oddjob,True,13,33
Flaming Croissants,Jack's Abby HAOS Lager,False,13,14
Flaming Croissants,Booooooosh!,True,13,22
Flaming Croissants,Stack to the Future,True,13,35
Flaming Croissants,Baboon Heart,False,13,37
Flaming Croissants,Rogues' Gallery,True,13,24
Flaming Croissants,Hipster Kitties,True,13,30
Jack's Abby HAOS Lager,TuneSquad Squared,True,14,31
Jack's Abby HAOS Lager,Lady and the BAMF,True,14,28
Jack's Abby HAOS Lager,Toads,False,14,16
Jack's Abby HAOS Lager,Store Bought Dirt,True,14,20
Jack's Abby HAOS Lager,License to Kilt (fka Scoobers in Scotland),True,14,15
Jack's Abby HAOS Lager,A Lil Bit Sticky,True,14,25
Jack's Abby HAOS Lager,Disc Envy,True,14,19
License to Kilt (fka Scoobers in Scotland),Pink Flamingos,False,15,44
License to Kilt (fka Scoobers in Scotland),Fetch,True,15,21
License to Kilt (fka Scoobers in Scotland),Nerd Alert,True,15,26
License to Kilt (fka Scoobers in Scotland),Tubbs,True,15,29
License to Kilt (fka Scoobers in Scotland),Store Bought Dirt,True,15,20
License to Kilt (fka Scoobers in Scotland),JHOP,False,15,17
License to Kilt (fka Scoobers in Scotland),Stack to the Future,True,15,35
License to Kilt (fka Scoobers in Scotland),Toads,True,15,16
License to Kilt (fka Scoobers in Scotland),Rubs The Duckie,True,15,18
License to Kilt (fka Scoobers in Scotland),Rogues' Gallery,True,15,24
License to Kilt (fka Scoobers in Scotland),SHRedline,False,15,51
License to Kilt (fka Scoobers in Scotland),Moose Lightning,True,15,27
License to Kilt (fka Scoobers in Scotland),Hipster Kitties,True,15,30
License to Kilt (fka Scoobers in Scotland),A Lil Bit Sticky,True,15,25
License to Kilt (fka Scoobers in Scotland),Booooooosh!,True,15,22
Toads,Baboon Heart,True,16,37
Toads,Store Bought Dirt,False,16,20
Toads,Top Shelf,True,16,38
Toads,Lady and the BAMF,True,16,28
Toads,A Lil Bit Sticky,True,16,25
Toads,Spam,True,16,60
Toads,Rabbit Disc,True,16,54
Toads,Rogues' Gallery,True,16,24
Toads,Moose Lightning,True,16,27
Toads,TuneSquad Squared,True,16,31
Toads,Lady and the BAMF,True,16,28
Toads,Store Bought Dirt,False,16,20
Toads,Nerd Alert,False,16,26
Toads,Tubbs,True,16,29
Toads,JHOP,True,16,17
Toads,Killer Bees,True,16,61
Toads,Rubs The Duckie,False,16,18
Toads,Underwater Monkey Cowboys,True,16,36
Toads,Fetch,False,16,21
JHOP,Fetch,False,17,21
JHOP,Store Bought Dirt,True,17,20
JHOP,Top Shelf,True,17,38
JHOP,Tubbs,True,17,29
JHOP,Stack to the Future,True,17,35
