Team A,Team B,divname,Team A Wins,Index A,Index B,Div A,Div B
AHOC,Gothrilla,4/3 Div 1,True,0,1,4/3 Div 1,4/3 Div 1
AHOC,BBN,4/3 Div 1,True,0,9,4/3 Div 1,4/3 Div 1
AHOC,Stonecutters,4/3 Div 1,True,0,41,4/3 Div 1,5/2 Div 1
AHOC,FlowChart,4/3 Div 1,True,0,2,4/3 Div 1,4/3 Div 1
AHOC,Lady and the BAMF,4/3 Div 1,True,0,28,4/3 Div 1,4/3 Div 2
AHOC,Swingers,4/3 Div 1,True,0,5,4/3 Div 1,4/3 Div 1
AHOC,Upstream,4/3 Div 1,True,0,10,4/3 Div 1,4/3 Div 2
AHOC,Tubbs,4/3 Div 1,True,0,29,4/3 Div 1,4/3 Div 2
AHOC,Stonecutters,4/3 Div 1,True,0,41,4/3 Div 1,5/2 Div 1
AHOC,Zerg Rush!,4/3 Div 1,True,0,4,4/3 Div 1,4/3 Div 1
AHOC,Turtle Boy,4/3 Div 1,True,0,7,4/3 Div 1,4/3 Div 1
AHOC,"Live Poultry, Fresh Killed (LPFK)",4/3 Div 1,True,0,8,4/3 Div 1,4/3 Div 1
AHOC,TuneSquad,4/3 Div 1,True,0,6,4/3 Div 1,4/3 Div 1
AHOC,JuJu Hex,4/3 Div 1,True,0,43,4/3 Div 1,5/2 Div 2
Gothrilla,AHOC,4/3 Div 1,False,1,0,4/3 Div 1,4/3 Div 1
Gothrilla,Swingers,4/3 Div 1,False,1,5,4/3 Div 1,4/3 Div 1
Gothrilla,FlowChart,4/3 Div 1,True,1,2,4/3 Div 1,4/3 Div 1
Gothrilla,Hucky McThrowandcatch,4/3 Div 1,True,1,50,4/3 Div 1,5/2 Div 2
Gothrilla,SnakeCountryBromance,4/3 Div 1,False,1,40,4/3 Div 1,5/2 Div 1
Gothrilla,Zerg Rush!,4/3 Div 1,False,1,4,4/3 Div 1,4/3 Div 1
Gothrilla,GrassBurner,4/3 Div 1,True,1,3,4/3 Div 1,4/3 Div 1
Gothrilla,Turtle Boy,4/3 Div 1,True,1,7,4/3 Div 1,4/3 Div 1
Gothrilla,"Live Poultry, Fresh Killed (LPFK)",4/3 Div 1,True,1,8,4/3 Div 1,4/3 Div 1
Gothrilla,Upstream,4/3 Div 1,True,1,10,4/3 Div 1,4/3 Div 2
Gothrilla,"Live Poultry, Fresh Killed (LPFK)",4/3 Div 1,True,1,8,4/3 Div 1,4/3 Div 1
Gothrilla,TuneSquad,4/3 Div 1,True,1,6,4/3 Div 1,4/3 Div 1
Gothrilla,BBN,4/3 Div 1,True,1,9,4/3 Div 1,4/3 Div 1
Gothrilla,Swingers,4/3 Div 1,True,1,5,4/3 Div 1,4/3 Div 1
Gothrilla,Zerg Rush!,4/3 Div 1,True,1,4,4/3 Div 1,4/3 Div 1
Gothrilla,GrassBurner,4/3 Div 1,False,1,3,4/3 Div 1,4/3 Div 1
Gothrilla,Shake and Bake,4/3 Div 1,True,1,42,4/3 Div 1,5/2 Div 1
FlowChart,Gothrilla,4/3 Div 1,False,2,1,4/3 Div 1,4/3 Div 1
FlowChart,AHOC,4/3 Div 1,False,2,0,4/3 Div 1,4/3 Div 1
FlowChart,GrassBurner,4/3 Div 1,True,2,3,4/3 Div 1,4/3 Div 1
FlowChart,Dominion,4/3 Div 1,True,2,23,4/3 Div 1,4/3 Div 2
FlowChart,GrassBurner,4/3 Div 1,True,2,3,4/3 Div 1,4/3 Div 1
FlowChart,Rogues' Gallery,4/3 Div 1,True,2,24,4/3 Div 1,4/3 Div 2
FlowChart,Moose Lightning,4/3 Div 1,True,2,27,4/3 Div 1,4/3 Div 2
FlowChart,Swingers,4/3 Div 1,True,2,5,4/3 Div 1,4/3 Div 1
FlowChart,JHOP,4/3 Div 1,True,2,17,4/3 Div 1,4/3 Div 2
FlowChart,TuneSquad,4/3 Div 1,True,2,6,4/3 Div 1,4/3 Div 1
FlowChart,Turtle Boy,4/3 Div 1,True,2,7,4/3 Div 1,4/3 Div 1
FlowChart,"Live Poultry, Fresh Killed (LPFK)",4/3 Div 1,True,2,8,4/3 Div 1,4/3 Div 1
FlowChart,Upstream,4/3 Div 1,False,2,10,4/3 Div 1,4/3 Div 2
FlowChart,Fetch,4/3 Div 1,True,2,21,4/3 Div 1,4/3 Div 2
FlowChart,BBN,4/3 Div 1,True,2,9,4/3 Div 1,4/3 Div 1
FlowChart,Zerg Rush!,4/3 Div 1,False,2,4,4/3 Div 1,4/3 Div 1
GrassBurner,BBN,4/3 Div 1,True,3,9,4/3 Div 1,4/3 Div 1
GrassBurner,TuneSquad,4/3 Div 1,True,3,6,4/3 Div 1,4/3 Div 1
GrassBurner,Disc Envy,4/3 Div 1,True,3,19,4/3 Div 1,4/3 Div 2
GrassBurner,Hipster Kitties,4/3 Div 1,True,3,30,4/3 Div 1,4/3 Div 2
GrassBurner,SnakeCountryBromance,4/3 Div 1,False,3,40,4/3 Div 1,5/2 Div 1
GrassBurner,BBN,4/3 Div 1,True,3,9,4/3 Div 1,4/3 Div 1
GrassBurner,FlowChart,4/3 Div 1,False,3,2,4/3 Div 1,4/3 Div 1
GrassBurner,Gothrilla,4/3 Div 1,False,3,1,4/3 Div 1,4/3 Div 1
GrassBurner,FlowChart,4/3 Div 1,False,3,2,4/3 Div 1,4/3 Div 1
GrassBurner,"Live Poultry, Fresh Killed (LPFK)",4/3 Div 1,True,3,8,4/3 Div 1,4/3 Div 1
GrassBurner,JuJu Hex,4/3 Div 1,False,3,43,4/3 Div 1,5/2 Div 2
GrassBurner,Puddingstone,4/3 Div 1,True,3,12,4/3 Div 1,4/3 Div 2
GrassBurner,Swingers,4/3 Div 1,False,3,5,4/3 Div 1,4/3 Div 1
GrassBurner,Zerg Rush!,4/3 Div 1,False,3,4,4/3 Div 1,4/3 Div 1
GrassBurner,JHOP,4/3 Div 1,True,3,17,4/3 Div 1,4/3 Div 2
GrassBurner,Moose Lightning,4/3 Div 1,False,3,27,4/3 Div 1,4/3 Div 2
GrassBurner,Turtle Boy,4/3 Div 1,True,3,7,4/3 Div 1,4/3 Div 1
GrassBurner,Rogues' Gallery,4/3 Div 1,False,3,24,4/3 Div 1,4/3 Div 2
GrassBurner,Gothrilla,4/3 Div 1,False,3,1,4/3 Div 1,4/3 Div 1
GrassBurner,SHRedline,4/3 Div 1,True,3,51,4/3 Div 1,5/2 Div 2
GrassBurner,Stonecutters,4/3 Div 1,True,3,41,4/3 Div 1,5/2 Div 1
Zerg Rush!,TuneSquad,4/3 Div 1,True,4,6,4/3 Div 1,4/3 Div 1
Zerg Rush!,SnakeCountryBromance,4/3 Div 1,False,4,40,4/3 Div 1,5/2 Div 1
Zerg Rush!,Moose Lightning,4/3 Div 1,True,4,27,4/3 Div 1,4/3 Div 2
Zerg Rush!,Swingers,4/3 Div 1,True,4,5,4/3 Div 1,4/3 Div 1
Zerg Rush!,Gothrilla,4/3 Div 1,True,4,1,4/3 Div 1,4/3 Div 1
Zerg Rush!,Turtle Boy,4/3 Div 1,True,4,7,4/3 Div 1,4/3 Div 1
Zerg Rush!,Injustice League,4/3 Div 1,True,4,11,4/3 Div 1,4/3 Div 2
Zerg Rush!,Puddingstone,4/3 Div 1,False,4,12,4/3 Div 1,4/3 Div 2
Zerg Rush!,AHOC,4/3 Div 1,False,4,0,4/3 Div 1,4/3 Div 1
Zerg Rush!,GrassBurner,4/3 Div 1,True,4,3,4/3 Div 1,4/3 Div 1
Zerg Rush!,Fetch,4/3 Div 1,True,4,21,4/3 Div 1,4/3 Div 2
Zerg Rush!,Gothrilla,4/3 Div 1,False,4,1,4/3 Div 1,4/3 Div 1
Zerg Rush!,"Live Poultry, Fresh Killed (LPFK)",4/3 Div 1,True,4,8,4/3 Div 1,4/3 Div 1
Zerg Rush!,FlowChart,4/3 Div 1,True,4,2,4/3 Div 1,4/3 Div 1
Swingers,"Live Poultry, Fresh Killed (LPFK)",4/3 Div 1,False,5,8,4/3 Div 1,4/3 Div 1
Swingers,JHOP,4/3 Div 1,True,5,17,4/3 Div 1,4/3 Div 2
Swingers,Gothrilla,4/3 Div 1,True,5,1,4/3 Div 1,4/3 Div 1
Swingers,TuneSquad,4/3 Div 1,False,5,6,4/3 Div 1,4/3 Div 1
Swingers,Zerg Rush!,4/3 Div 1,False,5,4,4/3 Div 1,4/3 Div 1
Swingers,BBN,4/3 Div 1,True,5,9,4/3 Div 1,4/3 Div 1
Swingers,AHOC,4/3 Div 1,False,5,0,4/3 Div 1,4/3 Div 1
Swingers,FlowChart,4/3 Div 1,False,5,2,4/3 Div 1,4/3 Div 1
Swingers,Turtle Boy,4/3 Div 1,True,5,7,4/3 Div 1,4/3 Div 1
Swingers,GrassBurner,4/3 Div 1,True,5,3,4/3 Div 1,4/3 Div 1
Swingers,Shake and Bake,4/3 Div 1,False,5,42,4/3 Div 1,5/2 Div 1
Swingers,Gothrilla,4/3 Div 1,False,5,1,4/3 Div 1,4/3 Div 1
Swingers,Stonecutters,4/3 Div 1,False,5,41,4/3 Div 1,5/2 Div 1
TuneSquad,TuneSquad Squared,4/3 Div 1,True,6,31,4/3 Div 1,4/3 Div 2
TuneSquad,Zerg Rush!,4/3 Div 1,False,6,4,4/3 Div 1,4/3 Div 1
TuneSquad,GrassBurner,4/3 Div 1,False,6,3,4/3 Div 1,4/3 Div 1
TuneSquad,Puddingstone,4/3 Div 1,True,6,12,4/3 Div 1,4/3 Div 2
TuneSquad,Shake and Bake,4/3 Div 1,False,6,42,4/3 Div 1,5/2 Div 1
TuneSquad,Swingers,4/3 Div 1,True,6,5,4/3 Div 1,4/3 Div 1
TuneSquad,Puddingstone,4/3 Div 1,False,6,12,4/3 Div 1,4/3 Div 2
TuneSquad,"Live Poultry, Fresh Killed (LPFK)",4/3 Div 1,True,6,8,4/3 Div 1,4/3 Div 1
TuneSquad,BBN,4/3 Div 1,False,6,9,4/3 Div 1,4/3 Div 1
TuneSquad,Dominion,4/3 Div 1,True,6,23,4/3 Div 1,4/3 Div 2
TuneSquad,FlowChart,4/3 Div 1,False,6,2,4/3 Div 1,4/3 Div 1
TuneSquad,Gothrilla,4/3 Div 1,False,6,1,4/3 Div 1,4/3 Div 1
TuneSquad,AHOC,4/3 Div 1,False,6,0,4/3 Div 1,4/3 Div 1
TuneSquad,Turtle Boy,4/3 Div 1,True,6,7,4/3 Div 1,4/3 Div 1
Turtle Boy,Injustice League,4/3 Div 1,False,7,11,4/3 Div 1,4/3 Div 2
Turtle Boy,"Live Poultry, Fresh Killed (LPFK)",4/3 Div 1,True,7,8,4/3 Div 1,4/3 Div 1
Turtle Boy,Puddingstone,4/3 Div 1,False,7,12,4/3 Div 1,4/3 Div 2
Turtle Boy,Lady and the BAMF,4/3 Div 1,True,7,28,4/3 Div 1,4/3 Div 2
Turtle Boy,Dominion,4/3 Div 1,True,7,23,4/3 Div 1,4/3 Div 2
Turtle Boy,Upstream,4/3 Div 1,False,7,10,4/3 Div 1,4/3 Div 2
Turtle Boy,Gothrilla,4/3 Div 1,False,7,1,4/3 Div 1,4/3 Div 1
Turtle Boy,Zerg Rush!,4/3 Div 1,False,7,4,4/3 Div 1,4/3 Div 1
Turtle Boy,Shake and Bake,4/3 Div 1,True,7,42,4/3 Div 1,5/2 Div 1
Turtle Boy,Swingers,4/3 Div 1,False,7,5,4/3 Div 1,4/3 Div 1
